Designator,Mid X,Mid Y,Layer,Rotation
C1,13.97,24.77,Top,180
C2,26.04,20.32,Top,180
C3,28.58,29.85,Top,0
C4,26.04,19.05,Top,180
C5,33.02,17.14,Top,180
C6,38.1,28.58,Top,90
C7,36.83,28.58,Top,90
C8,36.83,18.41,Top,270
C9,13.34,17.78,Top,0
C10,42.55,24.77,Top,90
D1,12.7,28.58,Top,90
D2,15.24,28.58,Top,90
L1,40.01,28.58,Top,90
LED1,54.61,31.12,Top,180
LED2,54.61,29.21,Top,180
Q1,40.01,24.77,Top,180
R1,24.77,22.86,Top,270
R2,35.56,18.41,Top,270
R3,47.63,19.05,Top,270
R5,47.63,22.86,Top,90
R7,50.8,31.12,Top,180
R8,50.8,29.21,Top,0
S1,19.05,19.69,Top,0
U1,31.75,24.13,Top,90
U2,20.32,27.3,Top,90
